age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
35,self-employed,single,tertiary,no,4294,no,no,unknown,26,jun,529,4,-1,0,unknown
50,management,married,tertiary,no,2488,yes,no,unknown,29,may,91,2,-1,0,unknown
33,management,married,tertiary,no,8339,yes,no,cellular,5,may,335,2,165,5,other
46,technician,married,secondary,no,3434,no,yes,cellular,8,jun,148,2,101,1,success
58,blue-collar,divorced,primary,no,8218,yes,no,cellular,31,jul,124,10,-1,0,unknown
25,blue-collar,single,secondary,no,352,yes,no,unknown,30,may,156,5,-1,0,unknown
31,self-employed,married,tertiary,no,81,yes,no,cellular,16,jul,57,8,-1,0,unknown
32,management,single,tertiary,no,2016,no,no,cellular,13,apr,232,1,348,1,success
48,management,married,tertiary,no,1147,no,no,cellular,3,dec,155,1,120,3,success
60,technician,married,primary,no,2301,no,no,cellular,28,apr,118,2,-1,0,unknown
30,blue-collar,single,secondary,no,1598,yes,no,cellular,10,jul,634,1,-1,0,unknown
32,management,married,tertiary,no,3651,yes,no,cellular,20,nov,142,3,-1,0,unknown
44,management,married,tertiary,no,1242,yes,no,cellular,6,aug,384,6,-1,0,unknown
27,services,single,secondary,no,0,yes,no,cellular,31,jul,35,6,-1,0,unknown
31,admin.,single,secondary,no,620,no,no,unknown,9,may,166,3,-1,0,unknown
47,admin.,divorced,secondary,no,-364,yes,yes,unknown,9,jun,240,2,-1,0,unknown
44,management,married,tertiary,no,839,no,no,cellular,8,nov,240,1,40,2,other
32,management,married,tertiary,no,1208,no,no,cellular,11,aug,221,3,-1,0,unknown
56,technician,married,secondary,no,992,no,no,unknown,9,jun,123,1,-1,0,unknown
49,technician,divorced,secondary,no,0,yes,no,cellular,11,feb,283,3,-1,0,unknown
40,admin.,married,secondary,no,-666,yes,no,unknown,27,may,107,2,-1,0,unknown
42,technician,single,secondary,no,1037,yes,no,unknown,30,may,231,2,-1,0,unknown
42,admin.,divorced,secondary,no,-249,yes,no,cellular,14,jul,149,3,-1,0,unknown
30,management,married,tertiary,no,604,no,no,cellular,25,aug,132,2,-1,0,unknown
31,services,single,secondary,no,252,no,no,cellular,19,nov,222,1,-1,0,unknown
38,management,single,tertiary,no,1495,yes,no,cellular,30,jan,339,2,-1,0,unknown
26,services,single,secondary,no,128,yes,yes,unknown,4,jun,264,2,-1,0,unknown
30,housemaid,single,tertiary,no,868,no,no,cellular,7,aug,387,2,-1,0,unknown
56,management,married,tertiary,no,171,no,yes,telephone,17,jul,610,2,-1,0,unknown
32,services,married,secondary,no,99,yes,no,cellular,13,may,152,3,-1,0,unknown
46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,385,5,-1,0,unknown
58,technician,married,secondary,no,201,no,no,cellular,10,jul,82,5,-1,0,unknown
35,self-employed,divorced,secondary,no,3443,no,no,cellular,30,jul,409,4,-1,0,unknown
29,blue-collar,single,tertiary,no,455,no,no,telephone,27,may,214,2,36,1,success
32,blue-collar,single,primary,no,1450,yes,no,cellular,6,feb,72,6,273,1,other
41,management,married,tertiary,no,2646,no,no,cellular,30,jul,81,2,-1,0,unknown
41,admin.,single,secondary,no,669,yes,no,cellular,16,apr,375,2,-1,0,unknown
31,services,single,secondary,no,24,no,no,cellular,18,jul,135,2,-1,0,unknown
33,admin.,married,secondary,no,1737,no,no,cellular,14,aug,228,2,106,2,failure
34,blue-collar,married,secondary,yes,-331,yes,yes,unknown,9,may,342,1,-1,0,unknown
34,blue-collar,married,secondary,no,7063,yes,no,cellular,13,may,309,1,350,9,failure
38,blue-collar,married,secondary,no,-627,yes,yes,unknown,20,jun,176,4,-1,0,unknown
58,technician,married,secondary,no,673,no,no,telephone,29,jul,28,4,-1,0,unknown
39,management,married,tertiary,no,-190,no,yes,unknown,11,jun,893,8,-1,0,unknown
40,technician,married,secondary,no,0,no,no,unknown,11,jun,420,1,-1,0,unknown
50,retired,married,secondary,no,0,yes,yes,unknown,17,jun,328,3,-1,0,unknown
44,blue-collar,married,primary,no,2135,no,no,unknown,9,jun,61,1,-1,0,unknown
30,technician,married,primary,no,95,yes,no,cellular,15,may,220,2,298,1,failure
32,housemaid,married,secondary,no,216,no,yes,cellular,9,jul,71,6,-1,0,unknown
29,blue-collar,divorced,secondary,no,-300,no,no,unknown,21,may,192,1,-1,0,unknown
40,blue-collar,married,primary,no,343,no,no,unknown,6,jun,292,2,-1,0,unknown
39,blue-collar,married,tertiary,no,597,no,no,cellular,16,jul,686,6,-1,0,unknown
59,management,divorced,tertiary,no,1002,no,no,cellular,7,aug,201,2,-1,0,unknown
46,blue-collar,married,primary,no,2093,no,no,unknown,5,jun,128,2,-1,0,unknown
36,blue-collar,single,secondary,no,3623,no,no,unknown,12,nov,71,1,378,1,success
24,technician,single,secondary,no,820,yes,no,unknown,23,may,665,1,-1,0,unknown
54,entrepreneur,married,secondary,no,52,yes,no,unknown,15,may,44,3,-1,0,unknown
53,technician,married,secondary,no,1319,no,no,unknown,19,jun,1318,3,-1,0,unknown
49,blue-collar,married,primary,no,418,no,no,cellular,18,aug,1559,7,-1,0,unknown
47,management,single,tertiary,no,-295,no,yes,cellular,22,jul,333,2,-1,0,unknown
22,student,single,unknown,no,1232,no,no,cellular,30,jul,283,1,430,2,other
45,technician,married,secondary,no,376,no,yes,cellular,18,aug,86,2,-1,0,unknown
31,unemployed,single,secondary,no,2616,no,no,cellular,21,may,374,1,185,2,other
28,blue-collar,single,secondary,no,2528,yes,no,cellular,18,may,190,8,-1,0,unknown
70,retired,married,primary,no,2795,no,no,cellular,8,jul,480,1,181,2,success
30,technician,married,secondary,no,66,no,yes,cellular,5,aug,239,1,-1,0,unknown
57,technician,married,tertiary,no,0,no,no,cellular,21,aug,242,5,-1,0,unknown
25,blue-collar,single,secondary,no,2354,no,yes,unknown,27,may,98,1,-1,0,unknown
41,admin.,married,secondary,no,1309,yes,no,unknown,14,may,568,1,-1,0,unknown
37,management,single,tertiary,no,695,no,no,cellular,28,jan,233,1,-1,0,unknown
34,management,single,tertiary,no,0,yes,yes,cellular,26,may,197,2,98,1,other
47,technician,married,secondary,no,0,yes,no,cellular,17,dec,97,1,231,2,failure
31,management,married,tertiary,no,10088,no,no,cellular,8,aug,72,6,-1,0,unknown
34,technician,single,tertiary,no,2257,yes,no,unknown,9,may,62,1,-1,0,unknown
33,services,married,secondary,no,-27,yes,no,cellular,18,jul,216,2,-1,0,unknown
38,management,divorced,tertiary,no,219,yes,no,cellular,10,jul,478,1,-1,0,unknown
51,management,married,tertiary,no,0,yes,no,cellular,23,jul,58,2,-1,0,unknown
51,housemaid,divorced,primary,no,127,no,no,unknown,13,sep,69,1,-1,0,unknown
36,blue-collar,single,primary,no,263,yes,no,unknown,15,may,172,2,-1,0,unknown
35,management,married,tertiary,no,3168,no,no,cellular,22,aug,24,30,-1,0,unknown
25,technician,single,tertiary,yes,160,no,yes,unknown,13,jul,151,1,-1,0,unknown
45,management,married,tertiary,no,-206,yes,no,cellular,6,may,337,2,-1,0,unknown
40,blue-collar,married,unknown,no,-4,yes,no,unknown,7,may,311,1,-1,0,unknown
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,unknown
45,blue-collar,married,primary,no,351,yes,no,unknown,19,jun,66,1,-1,0,unknown
32,management,single,tertiary,no,131,yes,no,cellular,11,aug,112,1,81,1,other
41,services,single,secondary,no,-675,yes,yes,cellular,18,mar,147,4,-1,0,unknown
29,admin.,single,secondary,no,900,yes,no,unknown,14,may,339,1,-1,0,unknown
31,technician,single,tertiary,no,3194,no,no,cellular,11,aug,140,2,-1,0,unknown
41,self-employed,single,tertiary,no,-94,yes,no,cellular,4,feb,1164,1,203,1,failure
33,admin.,married,tertiary,no,46,yes,no,cellular,18,nov,95,1,-1,0,unknown
36,technician,divorced,secondary,no,556,yes,no,cellular,18,nov,154,3,189,1,failure
24,services,single,secondary,no,14,yes,no,cellular,7,may,241,1,-1,0,unknown
37,admin.,married,secondary,no,0,yes,no,cellular,22,jul,185,1,-1,0,unknown
51,blue-collar,married,primary,no,176,no,yes,cellular,26,aug,80,2,-1,0,unknown
30,admin.,married,secondary,no,482,no,no,cellular,23,apr,86,1,-1,0,unknown
59,admin.,married,secondary,no,2552,no,yes,cellular,5,aug,125,3,-1,0,unknown
42,blue-collar,single,primary,no,1628,yes,no,cellular,5,feb,119,1,195,8,success
40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,566,1,395,2,success
35,blue-collar,married,secondary,no,503,yes,yes,unknown,9,may,57,2,-1,0,unknown
56,retired,married,secondary,no,1454,no,no,telephone,30,jan,479,1,-1,0,unknown
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown
28,admin.,single,tertiary,no,1104,yes,no,cellular,28,jul,73,7,-1,0,unknown
35,management,single,tertiary,no,1422,yes,yes,cellular,20,apr,28,7,272,3,other
27,management,single,tertiary,no,72,yes,no,cellular,28,jul,131,7,-1,0,unknown
33,technician,single,secondary,no,145,yes,no,cellular,29,jan,369,2,-1,0,unknown
34,entrepreneur,married,secondary,no,183,yes,no,cellular,15,may,339,4,-1,0,unknown
55,technician,married,secondary,no,978,yes,no,unknown,19,may,259,1,-1,0,unknown
55,admin.,married,secondary,no,131,yes,no,unknown,6,may,744,1,-1,0,unknown
29,technician,single,tertiary,no,172,yes,yes,cellular,7,oct,271,2,187,16,failure
47,services,married,secondary,no,665,yes,no,cellular,20,aug,251,3,-1,0,unknown
57,management,divorced,tertiary,no,2549,no,no,cellular,17,jul,193,2,-1,0,unknown
51,blue-collar,married,secondary,no,2918,no,no,cellular,5,aug,193,2,-1,0,unknown
35,entrepreneur,married,secondary,no,1309,yes,no,cellular,18,nov,73,3,-1,0,unknown
48,management,married,secondary,no,397,no,no,unknown,11,jun,389,6,-1,0,unknown
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,1,-1,0,unknown
39,services,divorced,secondary,no,5873,no,no,cellular,17,apr,280,1,344,2,failure
36,blue-collar,single,unknown,no,2054,no,no,unknown,9,jun,378,1,-1,0,unknown
56,management,married,tertiary,no,0,no,no,cellular,17,nov,194,1,-1,0,unknown
40,blue-collar,married,secondary,no,4,yes,yes,unknown,7,may,263,1,-1,0,unknown
52,technician,married,unknown,no,2709,yes,no,telephone,9,feb,48,7,-1,0,unknown
51,technician,married,unknown,no,573,yes,yes,unknown,14,may,231,1,-1,0,unknown
41,services,married,secondary,no,0,yes,no,unknown,2,jul,203,1,-1,0,unknown
47,management,divorced,tertiary,no,17964,yes,no,unknown,3,jun,165,2,-1,0,unknown
35,blue-collar,married,secondary,no,527,yes,yes,unknown,7,may,143,1,-1,0,unknown
30,management,married,secondary,no,877,yes,yes,cellular,13,aug,92,5,-1,0,unknown
44,management,married,primary,no,2276,yes,no,unknown,17,jun,321,1,-1,0,unknown
34,blue-collar,married,primary,no,2490,yes,no,unknown,23,may,192,1,-1,0,unknown
44,blue-collar,married,secondary,no,1397,no,no,cellular,20,nov,326,1,-1,0,unknown
51,blue-collar,married,secondary,no,22,yes,yes,unknown,9,may,178,1,-1,0,unknown
30,self-employed,single,tertiary,no,251,no,no,cellular,12,jul,537,1,-1,0,unknown
33,blue-collar,single,secondary,no,109,yes,yes,cellular,10,jul,184,3,-1,0,unknown
59,housemaid,married,primary,no,235,no,no,cellular,13,aug,119,2,-1,0,unknown
32,technician,married,secondary,no,5,yes,no,cellular,17,nov,114,1,-1,0,unknown
39,entrepreneur,married,secondary,no,0,yes,no,unknown,15,may,171,10,-1,0,unknown
34,blue-collar,married,secondary,no,2436,yes,no,cellular,14,may,8,7,-1,0,unknown
19,student,single,secondary,no,88,no,no,cellular,8,sep,191,1,-1,0,unknown
36,management,single,tertiary,no,0,no,yes,cellular,18,nov,300,1,96,4,failure
34,admin.,single,secondary,no,1704,yes,no,unknown,15,may,218,2,-1,0,unknown
32,technician,married,secondary,no,94,yes,no,cellular,17,apr,1013,2,-1,0,unknown
51,management,divorced,tertiary,no,0,no,no,cellular,13,aug,60,2,-1,0,unknown
32,blue-collar,single,unknown,no,258,yes,no,cellular,18,may,291,2,-1,0,unknown
55,blue-collar,married,primary,no,3873,no,no,telephone,21,apr,222,1,-1,0,unknown
37,blue-collar,married,secondary,no,0,yes,no,cellular,15,jul,129,2,-1,0,unknown
33,services,divorced,secondary,no,-395,yes,no,unknown,27,may,161,2,-1,0,unknown
35,admin.,married,tertiary,no,429,yes,no,cellular,5,feb,143,2,-1,0,unknown
59,management,married,tertiary,no,3969,no,no,cellular,18,nov,464,3,-1,0,unknown
35,management,divorced,secondary,no,910,no,no,cellular,29,aug,77,14,-1,0,unknown
58,unemployed,divorced,secondary,no,729,no,yes,cellular,9,feb,60,2,-1,0,unknown
48,blue-collar,married,unknown,no,459,no,no,cellular,5,feb,134,1,8,1,other
57,technician,married,tertiary,no,3082,yes,yes,cellular,20,apr,267,2,294,3,failure
34,admin.,married,secondary,no,2378,yes,yes,telephone,10,jul,92,1,-1,0,unknown
26,technician,single,secondary,no,668,yes,no,unknown,28,may,576,3,-1,0,unknown
46,technician,divorced,tertiary,no,288,yes,no,unknown,9,may,166,1,-1,0,unknown
36,blue-collar,married,primary,no,-402,no,no,unknown,21,may,173,6,-1,0,unknown
36,technician,single,secondary,no,265,yes,yes,cellular,2,feb,88,1,273,1,failure
65,retired,married,primary,no,1343,no,no,telephone,2,feb,468,2,-1,0,unknown
47,services,divorced,secondary,no,4906,yes,no,unknown,14,may,389,1,-1,0,unknown
37,blue-collar,married,primary,no,89,no,yes,telephone,8,jul,336,4,-1,0,unknown
26,technician,single,secondary,no,2,yes,yes,unknown,15,may,461,1,-1,0,unknown
28,technician,married,secondary,no,58,yes,no,cellular,14,may,16,6,351,1,failure
50,management,married,tertiary,no,0,no,no,unknown,17,jun,117,3,-1,0,unknown
31,admin.,single,secondary,no,410,no,no,cellular,25,oct,182,1,185,1,success
34,management,married,tertiary,no,255,no,no,cellular,27,aug,78,9,-1,0,unknown
38,self-employed,single,tertiary,no,982,no,no,cellular,11,aug,176,3,-1,0,unknown
45,technician,married,unknown,no,886,yes,no,cellular,13,oct,75,2,42,1,failure
45,technician,divorced,secondary,no,1066,yes,yes,cellular,19,nov,124,2,-1,0,unknown
36,blue-collar,married,secondary,no,-73,yes,yes,cellular,18,may,15,8,-1,0,unknown
35,self-employed,married,secondary,no,-3,no,no,unknown,9,jun,438,5,-1,0,unknown
35,admin.,married,secondary,no,640,no,no,unknown,6,jun,461,2,-1,0,unknown
37,services,single,secondary,no,1175,yes,no,unknown,16,jun,92,2,-1,0,unknown
52,blue-collar,married,primary,no,649,yes,yes,unknown,20,jun,7,20,-1,0,unknown
44,services,married,secondary,no,382,no,no,unknown,5,jun,1167,1,-1,0,unknown
50,technician,married,secondary,no,2242,no,no,cellular,17,nov,170,2,-1,0,unknown
32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown
57,technician,single,tertiary,no,711,no,no,unknown,25,jun,411,1,-1,0,unknown
39,blue-collar,married,primary,no,4,yes,no,cellular,19,nov,206,5,-1,0,unknown
45,management,married,tertiary,no,655,no,no,unknown,20,jun,693,3,-1,0,unknown
59,blue-collar,married,secondary,no,1376,no,yes,unknown,9,may,61,4,-1,0,unknown
60,retired,married,secondary,no,7,no,yes,cellular,18,aug,87,5,-1,0,unknown
46,technician,married,secondary,no,0,yes,no,cellular,17,nov,96,1,-1,0,unknown
26,technician,single,secondary,no,3244,no,no,cellular,2,feb,141,1,5,1,failure
47,technician,married,secondary,no,6704,yes,no,cellular,20,nov,37,2,-1,0,unknown
42,blue-collar,single,secondary,no,419,no,no,cellular,7,jul,88,3,-1,0,unknown
35,management,married,tertiary,no,753,no,no,cellular,27,aug,111,9,-1,0,unknown
39,blue-collar,married,primary,no,2169,no,no,unknown,17,jun,170,2,-1,0,unknown
51,services,single,secondary,no,513,yes,no,cellular,29,jul,331,2,-1,0,unknown
49,blue-collar,married,unknown,no,507,no,yes,unknown,18,jun,16,14,-1,0,unknown
57,technician,divorced,secondary,no,2710,yes,yes,unknown,7,may,333,1,-1,0,unknown
36,technician,single,secondary,no,818,yes,yes,cellular,19,aug,96,4,-1,0,unknown
56,management,married,secondary,no,145,no,no,cellular,4,feb,224,1,-1,0,unknown
37,services,married,secondary,no,22,yes,yes,unknown,8,may,160,1,-1,0,unknown
32,technician,single,tertiary,no,8047,yes,no,cellular,28,aug,16,13,-1,0,unknown
51,blue-collar,married,secondary,no,193,no,no,cellular,18,aug,146,5,-1,0,unknown
29,technician,single,secondary,no,307,yes,no,cellular,3,feb,216,1,-1,0,unknown
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,2,-1,0,unknown
27,blue-collar,single,secondary,no,-46,yes,no,cellular,3,dec,97,3,199,8,other
43,blue-collar,married,primary,no,98,yes,no,unknown,6,may,235,1,-1,0,unknown
43,blue-collar,married,secondary,no,1343,yes,yes,cellular,25,jul,211,2,-1,0,unknown
35,blue-collar,single,secondary,no,1239,yes,no,cellular,29,jan,112,1,195,1,failure
48,technician,married,secondary,no,141,yes,yes,unknown,6,may,424,1,-1,0,unknown
33,student,single,unknown,no,1170,no,no,cellular,30,apr,352,1,-1,0,unknown
32,management,single,tertiary,no,12686,yes,no,cellular,20,nov,176,1,170,1,failure
52,technician,married,secondary,no,526,no,yes,cellular,26,aug,60,6,-1,0,unknown
34,management,single,tertiary,no,21,yes,no,cellular,18,jul,74,5,-1,0,unknown
31,technician,single,tertiary,no,1881,no,no,cellular,19,nov,145,1,-1,0,unknown
38,blue-collar,married,primary,no,476,yes,no,unknown,28,may,212,4,-1,0,unknown
30,management,divorced,tertiary,yes,-1105,yes,no,cellular,11,may,686,1,-1,0,unknown
39,blue-collar,married,secondary,no,161,yes,no,cellular,18,may,98,2,-1,0,unknown
34,blue-collar,married,secondary,no,225,yes,no,unknown,28,may,342,2,-1,0,unknown
44,blue-collar,married,secondary,no,879,yes,no,cellular,3,apr,383,1,-1,0,unknown
44,management,single,secondary,no,3684,yes,no,cellular,15,may,31,5,179,3,failure
47,technician,divorced,unknown,no,442,yes,no,cellular,11,may,85,1,-1,0,unknown
46,admin.,married,unknown,no,5511,no,no,cellular,26,jul,414,2,389,1,success
34,services,married,secondary,no,7,yes,no,cellular,12,may,377,1,357,1,failure
30,management,married,secondary,no,-559,yes,yes,cellular,7,may,98,1,167,2,failure
60,retired,married,primary,no,17413,no,no,unknown,9,jun,200,1,-1,0,unknown
29,technician,single,secondary,yes,-33,no,yes,cellular,10,jul,171,1,-1,0,unknown
28,student,single,secondary,no,1925,no,no,cellular,25,may,252,1,88,4,failure
52,management,married,primary,no,740,no,no,unknown,16,jun,206,1,-1,0,unknown
49,blue-collar,married,primary,no,4140,no,no,cellular,7,jul,205,4,-1,0,unknown
36,management,married,tertiary,no,2987,yes,no,cellular,12,aug,307,1,-1,0,unknown
46,admin.,married,primary,no,469,yes,no,cellular,2,feb,75,1,264,10,other
24,admin.,single,secondary,no,-507,yes,no,unknown,27,may,446,1,-1,0,unknown
51,technician,married,secondary,no,220,yes,no,unknown,7,may,421,2,-1,0,unknown
47,blue-collar,married,secondary,no,2944,no,no,cellular,21,nov,57,7,154,5,failure
40,unemployed,single,secondary,no,1744,yes,no,unknown,21,may,465,11,-1,0,unknown
33,management,single,tertiary,no,729,yes,yes,unknown,18,jun,178,5,-1,0,unknown
49,blue-collar,married,primary,no,3652,yes,yes,cellular,11,may,568,1,285,2,other
50,technician,divorced,tertiary,no,-1455,yes,yes,cellular,6,feb,119,1,-1,0,unknown
41,technician,married,secondary,no,862,no,no,cellular,18,nov,474,2,-1,0,unknown
34,management,married,tertiary,no,3301,yes,no,cellular,17,sep,164,5,92,6,success
46,entrepreneur,married,secondary,no,3317,no,no,cellular,19,nov,231,2,-1,0,unknown
37,management,married,tertiary,no,49,no,yes,cellular,22,aug,132,1,-1,0,unknown
53,admin.,married,secondary,no,1796,no,no,telephone,16,mar,295,1,91,2,success
32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,138,3,-1,0,unknown
37,technician,married,secondary,no,507,yes,yes,unknown,23,may,157,1,-1,0,unknown
27,services,married,secondary,no,311,yes,no,cellular,15,may,50,1,352,1,failure
50,technician,married,secondary,no,1838,yes,yes,cellular,13,aug,221,8,-1,0,unknown
42,technician,married,secondary,no,420,yes,no,unknown,8,may,94,1,-1,0,unknown
36,admin.,divorced,secondary,no,0,yes,no,unknown,7,may,133,2,-1,0,unknown
26,student,single,tertiary,no,249,yes,no,cellular,11,may,445,2,371,1,other
47,housemaid,married,primary,no,32,no,no,cellular,5,aug,231,2,-1,0,unknown
61,housemaid,married,tertiary,no,746,no,no,cellular,7,aug,108,4,-1,0,unknown
33,technician,single,tertiary,no,123,no,no,cellular,19,aug,264,1,-1,0,unknown
36,technician,married,tertiary,no,837,no,no,cellular,28,aug,68,6,-1,0,unknown
30,blue-collar,married,primary,no,145,yes,no,unknown,7,may,299,2,-1,0,unknown
24,admin.,single,secondary,no,770,yes,no,unknown,16,may,233,1,-1,0,unknown
57,self-employed,married,unknown,no,964,no,no,unknown,11,jun,70,5,-1,0,unknown
40,services,married,secondary,no,1116,yes,no,cellular,12,may,350,5,286,2,failure
32,admin.,single,tertiary,no,1583,yes,no,cellular,19,nov,100,1,182,1,failure
45,blue-collar,married,primary,yes,153,no,yes,cellular,18,jul,706,9,-1,0,unknown
45,blue-collar,married,primary,no,180,yes,yes,unknown,29,may,150,1,-1,0,unknown
38,entrepreneur,married,secondary,no,0,yes,yes,cellular,19,nov,418,2,-1,0,unknown
34,unemployed,married,tertiary,no,10,no,no,cellular,22,aug,71,5,-1,0,unknown
50,technician,married,secondary,no,1541,yes,no,unknown,29,may,744,1,-1,0,unknown
22,student,single,secondary,no,123,no,no,telephone,12,may,267,2,89,7,success
35,technician,divorced,secondary,no,-281,no,no,cellular,4,aug,148,1,-1,0,unknown
42,services,married,secondary,no,174,yes,no,cellular,11,may,67,1,-1,0,unknown
31,blue-collar,single,tertiary,no,-701,yes,no,unknown,27,may,42,3,-1,0,unknown
48,technician,married,secondary,no,606,yes,no,cellular,19,aug,231,4,-1,0,unknown
47,entrepreneur,married,unknown,yes,-1445,yes,no,unknown,12,may,379,2,-1,0,unknown
58,services,married,secondary,no,0,no,no,telephone,29,jul,50,2,-1,0,unknown
54,management,divorced,tertiary,no,5475,no,no,cellular,21,oct,1032,1,91,4,success
41,management,married,tertiary,no,185,no,no,cellular,21,aug,286,12,-1,0,unknown
40,blue-collar,married,primary,no,-310,yes,yes,cellular,26,may,133,2,363,5,failure
41,admin.,divorced,secondary,no,1088,yes,no,cellular,28,jan,138,1,-1,0,unknown
60,retired,married,secondary,no,-240,no,no,cellular,11,aug,152,6,-1,0,unknown
41,entrepreneur,married,tertiary,no,2249,yes,no,telephone,16,jul,231,5,-1,0,unknown
60,retired,married,primary,no,364,yes,no,unknown,6,may,631,2,-1,0,unknown
36,management,divorced,tertiary,yes,20,no,yes,unknown,24,jun,62,5,-1,0,unknown
50,admin.,single,secondary,no,26,no,yes,telephone,24,jul,179,4,-1,0,unknown
53,services,married,unknown,no,18,no,no,unknown,5,may,503,2,-1,0,unknown
43,management,divorced,tertiary,no,1133,yes,no,cellular,5,may,131,1,-1,0,unknown
51,management,divorced,tertiary,no,311,no,no,telephone,14,aug,122,2,-1,0,unknown
54,housemaid,divorced,secondary,no,1327,no,no,unknown,5,jun,115,2,-1,0,unknown
37,housemaid,single,tertiary,no,206,no,no,cellular,27,aug,115,5,-1,0,unknown
51,technician,married,tertiary,no,0,no,no,cellular,2,mar,539,2,-1,0,unknown
42,blue-collar,married,primary,no,250,yes,no,unknown,4,jun,46,16,-1,0,unknown
35,management,married,tertiary,no,495,no,no,cellular,2,feb,282,1,-1,0,unknown
29,blue-collar,married,primary,no,248,yes,no,cellular,18,may,113,1,-1,0,unknown
36,management,single,tertiary,no,2706,no,no,cellular,31,jul,75,3,-1,0,unknown
32,entrepreneur,married,tertiary,no,0,no,no,cellular,19,aug,167,2,-1,0,unknown
52,management,divorced,tertiary,no,50,yes,no,unknown,12,jun,84,3,-1,0,unknown
38,management,married,tertiary,no,613,no,no,cellular,3,feb,239,1,-1,0,unknown
34,management,single,tertiary,no,-444,yes,yes,cellular,17,apr,129,2,148,4,other
32,blue-collar,single,secondary,no,338,yes,no,unknown,13,may,73,3,-1,0,unknown
37,management,married,tertiary,no,4293,yes,no,cellular,29,aug,150,2,-1,0,unknown
31,self-employed,married,tertiary,no,94,no,no,cellular,22,aug,579,2,-1,0,unknown
38,management,single,tertiary,no,690,yes,no,unknown,20,may,34,1,-1,0,unknown
31,management,married,tertiary,no,451,yes,no,cellular,5,may,67,1,-1,0,unknown
22,technician,single,secondary,no,0,yes,no,unknown,27,may,394,1,-1,0,unknown
33,blue-collar,divorced,secondary,no,0,no,no,cellular,25,jul,374,2,-1,0,unknown
26,self-employed,married,tertiary,no,10005,yes,no,cellular,17,jul,84,2,-1,0,unknown
46,technician,married,secondary,no,399,no,no,cellular,21,jul,156,1,-1,0,unknown
43,technician,married,secondary,no,373,no,no,telephone,29,jan,221,1,-1,0,unknown
39,self-employed,married,tertiary,no,-176,yes,no,unknown,15,may,156,13,-1,0,unknown
49,technician,married,tertiary,no,0,yes,no,cellular,21,nov,218,1,-1,0,unknown
54,retired,married,primary,no,2243,no,no,unknown,12,jun,281,1,-1,0,unknown
40,technician,divorced,tertiary,no,1871,yes,no,cellular,17,nov,64,1,-1,0,unknown
32,technician,single,secondary,no,0,no,no,cellular,3,feb,446,1,-1,0,unknown
31,blue-collar,married,secondary,no,186,yes,no,unknown,8,may,257,3,-1,0,unknown
